Epoch,Train_Loss,Val_Loss,Train_loss_nf,Train_loss_eb,Train_loss_nz,Train_loss_eg,Train_loss_sa,Train_loss_sg,Val_loss_nf,Val_loss_eb,Val_loss_nz,Val_loss_eg,Val_loss_sa,Val_loss_sg
1,4.7718,4.4649,3.7419,0.1775,0.0626,0.1884,1.9930,3.9264,3.5137,0.1612,0.0084,0.2284,2.0770,3.5352
2,3.6261,3.5131,2.9139,0.1448,0.0040,0.1291,1.5691,2.9859,2.8261,0.1294,0.0044,0.1746,1.7203,2.6805
3,2.7561,2.8413,2.2423,0.1175,0.0034,0.0955,1.2956,2.1771,2.2201,0.1272,0.0063,0.1521,1.8093,1.9329
4,1.8694,1.9565,1.4137,0.0932,0.0036,0.0805,1.1252,1.3885,1.4543,0.1012,0.0062,0.1366,1.4101,1.2258
5,1.2135,1.3339,0.8310,0.0741,0.0033,0.0636,0.9320,0.8289,0.9081,0.0725,0.0066,0.1124,1.1934,0.7332
6,0.8373,1.0705,0.5211,0.0622,0.0034,0.0532,0.7916,0.5032,0.6754,0.0660,0.0068,0.1119,1.1314,0.4835
7,0.6692,0.9480,0.3923,0.0569,0.0037,0.0510,0.7334,0.3398,0.6050,0.0580,0.0080,0.1086,1.0300,0.3818
8,0.5590,0.9147,0.3147,0.0500,0.0033,0.0446,0.6748,0.2525,0.5779,0.0633,0.0067,0.1025,1.0679,0.3289
9,0.4912,0.8605,0.2665,0.0467,0.0034,0.0405,0.6391,0.1979,0.5517,0.0543,0.0057,0.0995,1.0274,0.2883
10,0.4425,0.7883,0.2308,0.0445,0.0032,0.0372,0.6062,0.1653,0.4805,0.0522,0.0071,0.0970,0.9873,0.2434
11,0.4166,0.7649,0.2100,0.0412,0.0032,0.0360,0.5976,0.1450,0.4807,0.0498,0.0068,0.0907,0.9509,0.2337
12,0.3897,0.7429,0.1906,0.0399,0.0029,0.0345,0.5748,0.1294,0.4496,0.0504,0.0079,0.0888,0.9634,0.2144
13,0.3622,0.7069,0.1670,0.0392,0.0027,0.0310,0.5618,0.1137,0.4383,0.0451,0.0077,0.0864,0.8916,0.2071
14,0.3421,0.7310,0.1550,0.0369,0.0025,0.0297,0.5367,0.1059,0.4859,0.0524,0.0062,0.0838,0.8703,0.2213
15,0.3268,0.7640,0.1444,0.0353,0.0023,0.0278,0.5248,0.0989,0.4824,0.0490,0.0088,0.0851,0.9849,0.2180
16,0.3230,0.6701,0.1354,0.0349,0.0022,0.0281,0.5333,0.0951,0.4256,0.0528,0.0046,0.0786,0.8384,0.1924
17,0.3033,0.6802,0.1257,0.0322,0.0022,0.0251,0.5080,0.0894,0.4447,0.0477,0.0042,0.0870,0.8050,0.2024
18,0.3005,0.6669,0.1210,0.0337,0.0021,0.0256,0.5054,0.0876,0.4453,0.0462,0.0036,0.0809,0.7891,0.1999
19,0.2737,0.6388,0.1057,0.0306,0.0015,0.0218,0.4750,0.0795,0.4045,0.0445,0.0043,0.0772,0.8036,0.1835
20,0.2888,0.6831,0.1105,0.0319,0.0021,0.0246,0.5004,0.0817,0.4376,0.0498,0.0039,0.0848,0.8399,0.1974
21,0.2662,0.6755,0.0976,0.0295,0.0014,0.0214,0.4710,0.0770,0.4514,0.0435,0.0045,0.0837,0.7896,0.2061
