Epoch,Train_Loss,Val_Loss,Train_loss_nf,Train_loss_eb,Train_loss_nz,Train_loss_eg,Train_loss_sa,Train_loss_sg,Val_loss_nf,Val_loss_eb,Val_loss_nz,Val_loss_eg,Val_loss_sa,Val_loss_sg
1,5.932983,4.779506,2.998594,0.179629,1.811287,0.479649,2.136680,2.823864,2.118575,0.131322,1.704719,0.447007,1.917794,1.854988
2,3.189903,3.561842,1.303922,0.104921,1.144580,0.300840,1.601651,1.119132,1.264909,0.108099,1.366715,0.482933,1.593735,1.095140
3,2.144593,2.657667,0.731618,0.080073,0.803331,0.238724,1.306403,0.609543,0.841958,0.079435,1.061954,0.379443,1.366151,0.691456
4,1.617100,2.324244,0.473330,0.069724,0.612433,0.199854,1.148756,0.377318,0.672349,0.076372,0.935065,0.362649,1.251216,0.553609
5,1.344545,2.232577,0.353854,0.061408,0.506541,0.176814,1.055851,0.273609,0.617621,0.073883,0.898577,0.369206,1.183557,0.527950
6,1.185171,2.034751,0.283525,0.055748,0.445289,0.162412,0.996170,0.217965,0.556518,0.071347,0.813827,0.348669,1.102493,0.455148
7,1.057447,2.016863,0.232888,0.052031,0.394251,0.147308,0.947906,0.178115,0.542160,0.070222,0.796213,0.365052,1.082782,0.449144
8,0.971652,1.924794,0.201147,0.048814,0.357204,0.136840,0.918817,0.153966,0.518891,0.060833,0.757780,0.346602,1.057837,0.426398
9,0.907001,2.002271,0.178573,0.046715,0.330484,0.130513,0.885292,0.135546,0.507946,0.074742,0.794476,0.396149,1.026883,0.424473
10,0.850717,1.912603,0.157825,0.044804,0.307414,0.123860,0.861109,0.119591,0.501532,0.064162,0.773511,0.343151,1.029183,0.408678
11,0.811642,1.856173,0.144488,0.042846,0.291262,0.116442,0.851522,0.109627,0.479889,0.057266,0.736467,0.356700,0.976468,0.402974
12,0.769679,1.836593,0.130429,0.041266,0.274349,0.111169,0.829132,0.099148,0.464714,0.068911,0.723429,0.349818,0.995668,0.395667
13,0.734301,1.864983,0.121630,0.040185,0.257174,0.105401,0.814400,0.092997,0.468352,0.063284,0.736035,0.377685,0.972437,0.387429
14,0.715162,1.854975,0.112748,0.039417,0.250326,0.104835,0.800894,0.087302,0.479332,0.075556,0.732864,0.352616,0.979613,0.396334
15,0.686090,1.898175,0.106571,0.038640,0.236373,0.099504,0.789670,0.081413,0.473197,0.070125,0.762660,0.369072,0.969323,0.407972
16,0.664564,1.830601,0.097937,0.036969,0.229240,0.095475,0.783361,0.074774,0.458156,0.056611,0.724108,0.372079,0.948694,0.384845
17,0.642083,1.809189,0.093616,0.035688,0.218897,0.091781,0.769626,0.071729,0.463849,0.056430,0.707220,0.370953,0.912461,0.394277
18,0.629448,1.791041,0.090874,0.036059,0.212748,0.090345,0.759054,0.070343,0.469907,0.051381,0.714988,0.345053,0.926912,0.384566
19,0.609058,1.796473,0.086076,0.033713,0.204368,0.087009,0.749400,0.065932,0.473205,0.066541,0.707655,0.336667,0.932721,0.404923
20,0.599830,1.849418,0.084970,0.034530,0.198854,0.086417,0.742804,0.063936,0.456066,0.051147,0.730938,0.399993,0.911463,0.382884
21,0.588454,1.788492,0.079178,0.033368,0.196048,0.084332,0.737627,0.061026,0.445243,0.066283,0.711996,0.362975,0.893487,0.379426
22,0.570173,1.801494,0.075676,0.032552,0.186738,0.080910,0.730683,0.058412,0.438083,0.079646,0.718467,0.364386,0.914220,0.371022
23,0.558017,1.767302,0.074649,0.031083,0.181417,0.078372,0.720224,0.058587,0.460111,0.057128,0.692790,0.357677,0.887201,0.384110
24,0.550881,1.805641,0.073132,0.030965,0.178700,0.076549,0.719411,0.055522,0.431466,0.051882,0.718092,0.402804,0.880120,0.358070
25,0.541122,1.799035,0.069963,0.030425,0.174234,0.076831,0.709891,0.053792,0.443848,0.056098,0.697115,0.409414,0.870901,0.362526
26,0.526239,1.706863,0.065794,0.028887,0.169496,0.071828,0.706805,0.051066,0.441237,0.060696,0.678018,0.331381,0.862328,0.375598
27,0.516591,1.827045,0.065911,0.028995,0.162466,0.071569,0.699193,0.050690,0.457435,0.082052,0.731843,0.363570,0.885461,0.392499
28,0.507991,1.735837,0.062308,0.027884,0.159070,0.071337,0.695370,0.047753,0.433238,0.060123,0.702276,0.344996,0.859519,0.368059
29,0.510658,1.785645,0.062966,0.028852,0.161525,0.071921,0.690679,0.048200,0.471288,0.059284,0.707556,0.346761,0.870984,0.409493
30,0.500250,1.768754,0.061214,0.027637,0.157082,0.069818,0.683948,0.047480,0.427950,0.057049,0.723924,0.357279,0.883092,0.360249
31,0.499587,1.742630,0.060025,0.027351,0.158663,0.069014,0.684127,0.045968,0.443724,0.064066,0.677839,0.365419,0.850509,0.380646
32,0.475830,1.735341,0.055799,0.026540,0.146172,0.065266,0.672866,0.042724,0.447349,0.059324,0.690270,0.348999,0.853088,0.373619
33,0.490054,1.758259,0.059462,0.026327,0.154807,0.066567,0.676027,0.045956,0.458563,0.055243,0.710018,0.344283,0.836139,0.392427
34,0.479323,1.880315,0.057410,0.026683,0.148815,0.064793,0.670566,0.044997,0.491864,0.054235,0.735816,0.404406,0.860367,0.417868
35,0.468674,1.765746,0.053857,0.025886,0.143555,0.063907,0.668043,0.041856,0.451638,0.061512,0.701388,0.358761,0.833675,0.397841
36,0.462980,1.733133,0.055129,0.025439,0.140859,0.061791,0.662887,0.042361,0.450051,0.053635,0.682173,0.358302,0.828642,0.384445
37,0.457114,1.804106,0.054024,0.025488,0.138317,0.061139,0.658088,0.040950,0.466909,0.057396,0.708075,0.384186,0.840528,0.395068
38,0.456371,1.788165,0.052888,0.025163,0.138258,0.062091,0.656275,0.040228,0.477188,0.061981,0.713884,0.348628,0.841780,0.407068
39,0.450346,1.835714,0.053799,0.025629,0.136298,0.058967,0.649996,0.040737,0.462170,0.051173,0.713681,0.416878,0.832820,0.397277
40,0.442406,1.741251,0.050964,0.024815,0.132539,0.058760,0.646181,0.038726,0.466035,0.054483,0.676028,0.356634,0.829248,0.399112
41,0.431630,1.821155,0.048588,0.023562,0.127791,0.056903,0.640195,0.037605,0.474599,0.056654,0.722497,0.379846,0.824672,0.411566
42,0.438298,1.821818,0.048642,0.023590,0.132291,0.058738,0.641728,0.037269,0.473653,0.062222,0.719932,0.377473,0.829127,0.415474
43,0.429733,1.821165,0.050847,0.023283,0.127086,0.055766,0.635489,0.038339,0.451017,0.051484,0.740125,0.378279,0.843023,0.397209
44,0.424055,1.841666,0.048278,0.023421,0.125011,0.055060,0.632538,0.036747,0.449931,0.056398,0.737186,0.406389,0.826211,0.394127
45,0.422414,1.812284,0.046772,0.023301,0.124775,0.054011,0.635659,0.035787,0.461041,0.057157,0.726642,0.377077,0.827523,0.402418
46,0.416671,1.892358,0.047531,0.022242,0.120749,0.054004,0.631156,0.035369,0.455279,0.064816,0.757210,0.423213,0.841229,0.399038
47,0.423752,1.783833,0.049366,0.022303,0.125456,0.053164,0.635369,0.037374,0.446731,0.052833,0.710475,0.390449,0.817192,0.375938
48,0.415506,1.713264,0.047529,0.022897,0.121113,0.052856,0.628449,0.035578,0.429006,0.053372,0.695260,0.353141,0.812432,0.359890
49,0.405647,1.824753,0.044416,0.022381,0.117211,0.052441,0.620152,0.033101,0.455097,0.051833,0.722819,0.400921,0.844356,0.388481
50,0.408194,1.803647,0.045579,0.022510,0.118643,0.051318,0.622309,0.034993,0.481742,0.059884,0.687899,0.394415,0.801858,0.419925
51,1.781372,2.909132,0.052473,0.028722,0.981657,0.551505,0.622973,0.041440,0.453057,0.051522,1.436566,0.773704,0.829946,0.395179
52,1.703332,2.851344,0.043444,0.024975,0.942338,0.525560,0.613926,0.034095,0.436636,0.050181,1.407136,0.766981,0.813477,0.379551
53,1.682862,2.854543,0.041362,0.023321,0.931330,0.521955,0.603946,0.032105,0.445604,0.063141,1.406968,0.754053,0.824604,0.383536
54,1.678362,2.919814,0.039152,0.021681,0.929916,0.522959,0.600231,0.030004,0.474062,0.063904,1.434318,0.761262,0.850402,0.400262
55,1.672913,2.878490,0.038307,0.021604,0.926575,0.522167,0.598976,0.029045,0.465948,0.055973,1.421058,0.753483,0.815812,0.396491
56,1.668786,2.884117,0.040315,0.021779,0.923711,0.520037,0.593537,0.031861,0.482998,0.063040,1.407114,0.744907,0.818220,0.427222
57,1.667352,2.860833,0.039853,0.020676,0.923258,0.520880,0.591436,0.031039,0.465349,0.058202,1.408944,0.745316,0.811895,0.402459
58,1.658899,2.852894,0.037691,0.019719,0.919922,0.519256,0.589010,0.028624,0.466148,0.056558,1.402659,0.742076,0.810649,0.407223
